Product Name,Description,Category
Classic Debit Card,"Daily Withdrawal Limit: $1,000. Annual Fee: $0. Features: No foreign transaction fee, Zero liability on fraud. Additional Perks: ATM fee waiver at partner banks, Online purchase protection. Similar Products: Standard Savings Debit Card, Basic Access Debit Card.",Debit Card
Gold Debit Card,"Daily Withdrawal Limit: $2,500. Annual Fee: $10. Features: Free airport lounge access (2/year), Fuel surcharge waiver. Additional Perks: Higher cashback rates on select purchases, Discounts on dining. Similar Products: Premium Gold Debit Card, Rewards Debit Card.",Debit Card
Platinum Debit Card,"Daily Withdrawal Limit: $5,000. Annual Fee: $25. Features: Complimentary travel insurance, Free global ATM withdrawals. Similar Products: Executive Platinum Debit Card, Prestige Debit Card.",Debit Card
Youth Debit Card,"Daily Withdrawal Limit: $500. Annual Fee: $0. Features: No overdraft fee, Parental controls. Similar Products: Teen Secure Card, Student Savings Debit Card.",Debit Card
Business Debit Card,"Daily Withdrawal Limit: $10,000. Annual Fee: $50. Features: High transaction limits, Free employee cards. Similar Products: Corporate Expense Card, Business Advantage Debit Card.",Debit Card
Senior Citizen Debit Card,"Daily Withdrawal Limit: $3,000. Annual Fee: $5. Features: Discounted medical expenses, Extra fraud protection. Similar Products: Retirement Benefits Card, Senior Safe Debit Card.",Debit Card
PayWave Debit Card,"Daily Withdrawal Limit: $2,000. Annual Fee: $10. Features: Contactless payments, Instant cashback on purchases. Similar Products: Tap & Pay Debit Card, NFC Secure Card.",Debit Card
Travel Debit Card,"Daily Withdrawal Limit: $4,000. Annual Fee: $20. Features: Free forex transactions, Exclusive airport lounge access. Similar Products: Explorer Debit Card, Global Traveler Debit Card.",Debit Card
Luxury Debit Card,"Daily Withdrawal Limit: $7,000. Annual Fee: $100. Features: Personal concierge, Exclusive dining privileges. Similar Products: Elite Privilege Debit Card, Luxe Benefits Debit Card.",Debit Card
Crypto-Linked Debit Card,"Daily Withdrawal Limit: $5,000. Annual Fee: $75. Features: Spend directly from crypto wallet, 1% cashback in BTC. Similar Products: Bitcoin Rewards Card, Digital Assets Debit Card.",Debit Card
