Product Name,Description,Category
Conventional Mortgage,"Loan Amount: Up to $600,000. Interest Rate: 6% APR. Tenure: Up to 30 years. Features: Fixed/variable rate options, Competitive interest rates. Similar Products: Standard Mortgage Loan, Traditional Home Loan.",Mortgage Loans
FHA Loan,"Loan Amount: Up to $500,000. Interest Rate: 5.5% APR. Tenure: Up to 30 years. Features: Low down payment, Government-backed security. Similar Products: Federal Housing Loan, Affordable Mortgage Plan.",Mortgage Loans
USDA Loan,"Loan Amount: Up to $450,000. Interest Rate: 5.75% APR. Tenure: Up to 30 years. Features: No down payment, Special for rural properties. Similar Products: Rural Housing Loan, Agriculture Mortgage.",Mortgage Loans
Jumbo Mortgage,"Loan Amount: $750,000 - $2,000,000. Interest Rate: 6.75% APR. Tenure: Up to 30 years. Features: Large loan amounts, Competitive rates. Similar Products: Luxury Home Mortgage, Premium Housing Loan.",Mortgage Loans
Interest-Only Mortgage,"Loan Amount: Up to $500,000. Interest Rate: 6.25% APR. Tenure: Up to 10 years (interest-only period). Features: Low initial payments, Higher later payments. Similar Products: Low Payment Mortgage, Step-Up Loan.",Mortgage Loans
Balloon Mortgage,"Loan Amount: Up to $400,000. Interest Rate: 5.99% APR. Tenure: Up to 10 years. Features: Low initial payments, Large final payment. Similar Products: Lump Sum Mortgage, Deferred Payment Loan.",Mortgage Loans
Fixed-Rate Mortgage,"Loan Amount: Up to $600,000. Interest Rate: 6.5% APR. Tenure: Up to 30 years. Features: Predictable payments, No rate changes. Similar Products: Standard Fixed Loan, Homeowner Stability Loan.",Mortgage Loans
Adjustable-Rate Mortgage,"Loan Amount: Up to $700,000. Interest Rate: 5.5% APR (adjustable). Tenure: Up to 25 years. Features: Lower initial rates, Variable with market. Similar Products: Floating Rate Mortgage, Flexible Interest Loan.",Mortgage Loans
Reverse Mortgage,"Loan Amount: Based on home equity. Interest Rate: 6.25% APR. Tenure: Lifetime. Features: No monthly payments, Paid from home value. Similar Products: Senior Citizen Mortgage, Equity Release Loan.",Mortgage Loans
Home Equity Line of Credit (HELOC),"Loan Amount: Up to $250,000. Interest Rate: 6.75% APR. Tenure: 10-year draw period. Features: Borrow as needed, Lower interest than credit cards. Similar Products: Property Equity Credit, Flexible Mortgage Loan.",Mortgage Loans
